id;date_debut;date_fin;agence;user_modif;date_modif
1;2020-05-11;2020-05-11;calculating Architect;Money Market Account Investment Account Manager;2020-05-11
2;2020-05-11;2020-05-11;Soap compress incremental;channels Personal Loan Account District;2020-05-11
3;2020-05-11;2020-05-11;Credit Card Account;Avon secured line Fantastic Metal Fish;2020-05-11
4;2020-05-11;2020-05-11;Branding Afghanistan Realigned;primary;2020-05-12
5;2020-05-11;2020-05-11;Trafficway bypass Awesome;intuitive open-source;2020-05-11
6;2020-05-11;2020-05-11;empowering;index Home Loan Account Forest;2020-05-11
7;2020-05-11;2020-05-11;Tasty Wooden Salad online;Walks Portugal;2020-05-11
8;2020-05-11;2020-05-11;invoice EXE;Global Pants;2020-05-11
9;2020-05-11;2020-05-11;Forward;Credit Card Account;2020-05-11
10;2020-05-11;2020-05-11;Tools Rhode Island;vortals Re-contextualized red;2020-05-11
