id;created_at;updated_at;titre_compte_rendu;contenu_compte_rendu
1;2020-08-10;2020-08-11;Personal Loan Account withdrawal Borders;../fake-data/blob/hipster.txt
2;2020-08-11;2020-08-11;HDD Garden robust;../fake-data/blob/hipster.txt
3;2020-08-11;2020-08-11;Handcrafted;../fake-data/blob/hipster.txt
4;2020-08-11;2020-08-11;Team-oriented;../fake-data/blob/hipster.txt
5;2020-08-10;2020-08-11;partnerships IB payment;../fake-data/blob/hipster.txt
6;2020-08-11;2020-08-11;feed Exclusive Buckinghamshire;../fake-data/blob/hipster.txt
7;2020-08-11;2020-08-10;Albania;../fake-data/blob/hipster.txt
8;2020-08-11;2020-08-11;Spurs Peru;../fake-data/blob/hipster.txt
9;2020-08-11;2020-08-10;Hungary New Hampshire;../fake-data/blob/hipster.txt
10;2020-08-11;2020-08-11;redundant;../fake-data/blob/hipster.txt
