id;date_prev_liv;remarques;date_creation;valide;user_modif;date_modif;projet_id
1;2020-05-11;Plastic Taiwan emulation;2020-05-11;true;transmitter;2020-05-11;1
2;2020-05-11;Shoes Multi-lateral overriding;2020-05-11;false;firewall;2020-05-11;2
3;2020-05-11;Bhutan Belarussian Ruble;2020-05-11;true;cross-media Cambridgeshire;2020-05-11;3
4;2020-05-11;Branding Delaware;2020-05-11;true;Toys;2020-05-11;4
5;2020-05-11;Mouse;2020-05-11;false;payment Borders ROI;2020-05-11;5
6;2020-05-11;Qatari Rial;2020-05-11;true;Fresh;2020-05-12;6
7;2020-05-11;FTP Books auxiliary;2020-05-11;true;indigo calculating Cotton;2020-05-11;7
8;2020-05-11;Avon ADP hacking;2020-05-11;false;Guinea Auto Loan Account Netherlands Antilles;2020-05-11;8
9;2020-05-11;Berkshire green Pines;2020-05-11;true;Rustic Clothing Bhutan;2020-05-11;9
10;2020-05-11;Security;2020-05-11;false;Cedi;2020-05-11;10
