id;date_sortie;date_creation;user_modif;date_modif;remarques;projet_id
1;2020-10-13;2020-10-12;Metal;2020-10-13;Personal Loan Account Unbranded Wooden Table solutions;1
2;2020-10-13;2020-10-12;Lodge applications incremental;2020-10-13;supply-chains Personal Loan Account empower;2
3;2020-10-12;2020-10-12;haptic invoice;2020-10-13;collaborative Digitized;3
4;2020-10-13;2020-10-13;Unbranded productivity;2020-10-13;Garden Centralized;4
5;2020-10-13;2020-10-13;solid state;2020-10-12;FTP Soft Metal;5
6;2020-10-12;2020-10-13;reboot;2020-10-12;deposit Ergonomic Wooden Bacon;6
7;2020-10-13;2020-10-13;Sleek Soft Mouse Generic;2020-10-12;withdrawal challenge Bike;7
8;2020-10-12;2020-10-12;Keyboard web services;2020-10-13;teal;8
9;2020-10-13;2020-10-13;secondary;2020-10-12;Decentralized Wooden Borders;9
10;2020-10-13;2020-10-12;24/365 Planner Sleek;2020-10-12;exploit Vatu;10
