id;titre;contenu;file_path
1;hack Cambridgeshire;Cambridgeshire Rustic Wooden Pants;Wyoming
2;Multi-channelled Concrete Station;web-enabled;Gold Locks Generic Plastic Chips
3;Bike ROI;capability Personal Loan Account;invoice
4;Intelligent;withdrawal;transmitting Tools Vermont
5;Chips intermediate Handmade Steel Tuna;payment;Cambridgeshire Automotive
6;SSL mint green Representative;deposit;Incredible
7;Granite ivory tangible;Factors;encompassing
8;Maine orchid;Technician Luxembourg connecting;global
9;repurpose SCSI;Toys Generic;Savings Account Marshall Islands Rubber
10;Bahamian Dollar customized Health;Borders;24 hour Afghani
