id;date_jour;user_modif;date_modif
1;2020-08-07;driver;2020-08-08T03:09:55
2;2020-08-08;withdrawal Auto Loan Account;2020-08-08T03:16:41
3;2020-08-08;benchmark Spurs circuit;2020-08-07T17:51:22
4;2020-08-07;navigate;2020-08-07T21:20:28
5;2020-08-08;cross-platform;2020-08-08T05:18:57
6;2020-08-07;Rustic;2020-08-08T12:39:17
7;2020-08-08;generate Architect;2020-08-07T20:44:00
8;2020-08-08;Savings Account Facilitator Berkshire;2020-08-08T09:12:56
9;2020-08-08;Switchable;2020-08-07T14:54:21
10;2020-08-08;Towels;2020-08-07T19:59:44
