id;quantite;prix_ht;user_modif;date_modif
1;Tactics Station;content-based Rustic Soft Shoes;Algeria Northern Mariana Islands Bedfordshire;2020-05-11
2;application;bleeding-edge RAM;SSL monitor value-added;2020-05-11
3;turn-key Personal Loan Account Administrator;cross-platform schemas context-sensitive;Minnesota solutions Fish;2020-05-11
4;models;Handmade Frozen Towels mint green;synthesize District parse;2020-05-11
5;sky blue;Engineer mindshare Credit Card Account;context-sensitive invoice;2020-05-11
6;Unbranded Wooden Gloves Salad;Coves;Dynamic wireless Licensed;2020-05-12
7;backing up;monitor Handcrafted;Licensed Cambridgeshire stable;2020-05-11
8;Health;PCI Iowa;Program parsing;2020-05-11
9;Saudi Arabia Club Iraq;Bedfordshire Texas;Regional;2020-05-11
10;Radial;New York primary vortals;payment Soft;2020-05-11
