id;quantite;prix_ht;type;bon_sortie_id
1;encryption Tunisia;Facilitator Chief Cambridgeshire;Djibouti Franc;1
2;Egypt;Pants;monitor;2
3;Locks;Product;networks online;3
4;Automotive;mobile Developer sensor;cross-media Fiji Intranet;4
5;Manager navigate;quantifying bandwidth;neural Shoes transmitting;5
6;bluetooth Accounts;mobile seize XML;Chief process improvement;6
7;District action-items;CFA Franc BEAC Cambridgeshire Operations;maroon TCP;7
8;Plaza Branding;Ergonomic Steel Hat Hryvnia;THX Refined;8
9;Landing;time-frame;EXE transmit orchestrate;9
10;Bike;optical;Human Computers;10
