id;quantite;type;materiel_id;materiau_id;stock_disponible_id
1;Saint Lucia;expedite Iowa;1;1;1
2;Trinidad and Tobago Dollar;efficient;2;2;2
3;magenta Fresh Jewelery;JBOD withdrawal;3;3;3
4;Washington;Clothing Uzbekistan Sum users;4;4;4
5;bypass Refined;parsing;5;5;5
6;Kansas;revolutionary Ergonomic Metal Pants Fish;6;6;6
7;Virgin Islands, British cross-media target;Virginia;7;7;7
8;Steel;wireless Toys Concrete;8;8;8
9;violet hack;backing up niches;9;9;9
10;Principal Regional AGP;Croatian Kuna Enhanced Data;10;10;10
