id;libelle;description;user_modif;date_modif
1;Kansas Shoes calculate;Strategist withdrawal;back-end;2020-05-11
2;invoice;Bedfordshire Steel;Assurance;2020-05-11
3;National;Implementation;pixel didactic;2020-05-11
4;budgetary management;hardware index;Pines digital Moldovan Leu;2020-05-11
5;Web Alabama Checking Account;interface EXE;Outdoors navigating systems;2020-05-11
6;Garden Devolved deposit;Ergonomic Plastic Pants;Awesome Rubber Shoes;2020-05-11
7;Legacy;Michigan hard drive;B2C;2020-05-11
8;Lock hard drive;generate;deposit Squares;2020-05-11
9;Home Loan Account Lead;array purple Architect;bifurcated firewall;2020-05-11
10;Manors Buckinghamshire;function;deposit green;2020-05-11
