id;nom_tache;description_tache;date_debut;date_fin
1;Soap;Practical;2020-10-09T02:31:37;2020-10-09T06:00:24
2;Frozen Senior disintermediate;streamline Interactions;2020-10-08T19:52:50;2020-10-09T13:49:19
3;Licensed Rubber Tuna solid state Keyboard;Afghani cross-platform Concrete;2020-10-08T20:07:34;2020-10-09T08:33:25
4;driver;blue;2020-10-08T19:17:01;2020-10-09T05:12:33
5;Garden forecast;withdrawal navigate;2020-10-09T00:33:48;2020-10-09T14:43:55
6;Investment Account;incentivize index;2020-10-09T01:37:51;2020-10-09T01:25:01
7;e-tailers Checking Account Ergonomic;reboot;2020-10-09T02:54:04;2020-10-09T12:25:02
8;Dynamic;orange Home protocol;2020-10-09T01:41:16;2020-10-09T14:57:59
9;FTP Saudi Riyal;Intelligent disintermediate extranet;2020-10-09T12:54:07;2020-10-08T17:01:34
10;Consultant Rubber;Cotton;2020-10-09T15:24:34;2020-10-08T16:37:45
