id;date_jour;presence_matin;presence_apm;nbr_heure_sup;remarques;user_modif;date_modif
1;2020-05-12;false;true;Orchestrator;asynchronous eyeballs Corporate;Roads Idaho;2020-05-11
2;2020-05-11;true;false;Bedfordshire;Progressive human-resource;Senior Australian Dollar;2020-05-11
3;2020-05-11;false;false;task-force matrix;focus group knowledge user Bacon;Texas Accounts client-server;2020-05-11
4;2020-05-11;false;false;FTP Brand;killer Kentucky;invoice;2020-05-11
5;2020-05-11;false;true;Administrator;Architect seize solid state;Internal;2020-05-11
6;2020-05-11;false;true;morph evolve;Cheese;synthesize;2020-05-11
7;2020-05-11;true;true;interactive white;Investment Account Home Loan Account;Coordinator Bolivar Fuerte Unbranded;2020-05-11
8;2020-05-11;false;false;PCI end-to-end;didactic Tugrik Money Market Account;Communications;2020-05-11
9;2020-05-11;true;true;synthesizing;Metal;Assistant invoice;2020-05-11
10;2020-05-11;true;true;bypass Global withdrawal;Isle of Man;backing up indexing;2020-05-11
