id;montant_facture;date_facturation;montant_en_cours;projet_id
1;Infrastructure Configuration IB;2020-09-20;transform Awesome Granite Tuna empowering;1
2;Factors;2020-09-20;invoice Louisiana;2
3;Handmade quantify;2020-09-20;copying client-server;3
4;bandwidth;2020-09-19;hack Square;4
5;Fantastic;2020-09-20;Pataca actuating;5
6;card;2020-09-20;payment;6
7;Regional extend protocol;2020-09-20;Venezuela digital;7
8;Interactions Books Arkansas;2020-09-20;Monitored yellow Global;8
9;Rubber platforms Computer;2020-09-19;foreground virtual SSL;9
10;microchip archive;2020-09-19;Gloves;10
