id;date_stock;user_modif;remarque;date_modif;quantite
1;2020-10-15;Money Market Account Computer;Borders solid state deposit;2020-10-16;Oklahoma
2;2020-10-16;Kuwaiti Dinar cultivate productize;Rustic function functionalities;2020-10-16;CSS Soft hacking
3;2020-10-16;Cambridgeshire;upward-trending;2020-10-16;lavender maximized
4;2020-10-15;Computers Producer;Personal Loan Account Legacy system;2020-10-16;Checking Account ADP
5;2020-10-16;index extend;Gorgeous Rubber Keyboard enhance;2020-10-16;Tuna Rubber feed
6;2020-10-16;cross-media Grocery Total;neural Automotive;2020-10-16;Platinum Dalasi
7;2020-10-16;Analyst Multi-layered Avon;Spain Facilitator;2020-10-16;input Clothing
8;2020-10-16;Ergonomic Cotton Soap Savings Account Colombian Peso Unidad de Valor Real;Investor;2020-10-16;Pine XSS
9;2020-10-16;Handmade Soft Table;holistic;2020-10-16;attitude
10;2020-10-15;quantify;parse monetize stable;2020-10-15;leverage invoice District
