id;taux;user_modif;date_modif
1;grid-enabled Industrial;Credit Card Account real-time;2020-05-11
2;Lead incremental Estonia;streamline Slovenia Buckinghamshire;2020-05-11
3;Grenada;Frozen;2020-05-11
4;supply-chains Mountains cyan;tertiary;2020-05-11
5;Practical Plastic Computer Mission;B2B;2020-05-11
6;Consultant;Awesome;2020-05-11
7;Ergonomic Steel Salad Wooden;JBOD Falkland Islands Pound analyzing;2020-05-11
8;Berkshire Triple-buffered Avon;Cotton De-engineered;2020-05-11
9;compressing reboot turquoise;Executive;2020-05-11
10;Cotton encompassing Afghanistan;plum;2020-05-11
