id;libelle;symbole;description;user_modif;date_modif
1;solid state transmit;scale Frozen;Montana AGP;regional;2020-05-11
2;Ohio Japan Self-enabling;Dynamic Pizza Berkshire;Concrete analyzing;Intelligent even-keeled Sleek Fresh Bike;2020-05-11
3;Bedfordshire robust Mauritius;Branding Facilitator haptic;Health hack;Tools Avon Horizontal;2020-05-11
4;Assistant;Brand;Manager Mandatory Chief;Poland;2020-05-11
5;Germany;Industrial calculate;Fresh;Accountability;2020-05-11
6;Auto Loan Account;Sports Parkway;B2B;Factors Plaza Ports;2020-05-11
7;Money Market Account;Supervisor;Product Kwacha Tasty Soft Fish;Lead Grocery Kwanza;2020-05-11
8;Awesome Steel Cheese;Open-source;Borders;holistic Dynamic Customer;2020-05-11
9;mobile Jewelery Fantastic;open system;Rubber;Licensed;2020-05-11
10;Technician;Metrics port;Borders;primary;2020-05-11
