idAssurance,dateDebut,dateFin,Agence
1,2020-05-11,2020-05-11,calculating Architect
4351,2020-11-05,2020-11-05,calculating Architect
4352,2020-11-05,2020-11-05,Soap compress incremental
4353,2020-11-05,2020-11-05,Credit Card Account
4354,2020-11-05,2020-11-05,Branding Afghanistan Realigned
4355,2020-11-05,2020-11-05,Trafficway bypass Awesome
4356,2020-11-05,2020-11-05,empowering
4357,2020-11-05,2020-11-05,Tasty Wooden Salad online
4358,2020-11-05,2020-11-05,invoice EXE
4359,2020-11-05,2020-11-05,Forward
4360,2020-11-05,2020-11-05,Tools Rhode Island
