Id,Date Livraison,Remarques,Date Creation,Valide
1,2020-05-11,Plastic Taiwan emulation,2020-05-11,true
2,2020-05-11,Shoes Multi-lateral overriding,2020-05-11,false
3,2020-05-11,Bhutan Belarussian Ruble,2020-05-11,true
4,2020-05-11,Branding Delaware,2020-05-11,true
5,2020-05-11,Mouse,2020-05-11,false
6,2020-05-11,Qatari Rial,2020-05-11,true
7,2020-05-11,FTP Books auxiliary,2020-05-11,true
8,2020-05-11,Avon ADP hacking,2020-05-11,false
9,2020-05-11,Berkshire green Pines,2020-05-11,true
10,2020-05-11,Security,2020-05-11,false
2751,2020-11-05,Plastic Taiwan emulation,2020-11-05,true
2752,2020-11-05,Shoes Multi-lateral overriding,2020-11-05,false
2753,2020-11-05,Bhutan Belarussian Ruble,2020-11-05,true
2754,2020-11-05,Branding Delaware,2020-11-05,true
2755,2020-11-05,Mouse,2020-11-05,false
2756,2020-11-05,Qatari Rial,2020-11-05,true
2757,2020-11-05,FTP Books auxiliary,2020-11-05,true
2758,2020-11-05,Avon ADP hacking,2020-11-05,false
2759,2020-11-05,Berkshire green Pines,2020-11-05,true
2760,2020-11-05,Security,2020-11-05,false
