Id,libelle,nbrHeurParJr,nbrJourParSe,heureDebutJr,heureFinJr,dureePause
1,Borders COM,Iowa schemas,alarm scalable,Berkshire Tuna Incredible Cotton Ball,Chief Chair Regional,evolve
2,Dynamic,Valleys Synchronised,real-time deliverables,compressing Computers,THX Plastic Incredible,Fantastic Frozen Pants
3,Forest,schemas,users Springs Universal,mobile Malaysia application,Spurs Money Market Account pixel,Generic Soft Car Borders
4,navigate,neutral,Cambridgeshire Dynamic,utilisation Borders,Fresh Wooden Assimilated,hub CSS Metal
5,deposit Money Market Account,overriding RAM Czech Koruna,info-mediaries bandwidth,open-source Bedfordshire quantify,HDD,Dynamic
6,Strategist Re-contextualized,info-mediaries red,panel,Orchestrator Ergonomic Wooden Fish,EXE Investor,Architect
7,Berkshire Rustic Plastic Chicken,Fish,benchmark GB,Computer Chair copy,olive,Creative Aruban Guilder
8,Towels Soap Cambodia,navigating XML,Cotton,Sleek Car,Steel,Shirt
9,index THX AGP,online,supply-chains metrics Soft,CSS invoice,array Shoes Reduced,quantifying blue
10,Computer paradigms,Unbranded Plastic Refined Concrete Chicken,Ball,analyzer Internal,Practical Soft Keyboard Kroon,Bedfordshire
