id,dateJour,presenceMatin,presenceAPM,nbrHeureSup,remarques
1,2020-05-12,false,true,Orchestrator,asynchronous eyeballs Corporate
2,2020-05-11,true,false,Bedfordshire,Progressive human-resource
3,2020-05-11,false,false,task-force matrix,focus group knowledge user Bacon
4,2020-05-11,false,false,FTP Brand,killer Kentucky
5,2020-05-11,false,true,Administrator,Architect seize solid state
6,2020-05-11,false,true,morph evolve,Cheese
7,2020-05-11,true,true,interactive white,Investment Account Home Loan Account
8,2020-05-11,false,false,PCI end-to-end,didactic Tugrik Money Market Account
9,2020-05-11,true,true,synthesizing,Metal
10,2020-05-11,true,true,bypass Global withdrawal,Isle of Man
