idTVA,Taux de TVA
1,grid-enabled Industrial
2,Lead incremental Estonia
3,Grenada
4,supply-chains Mountains cyan
5,Practical Plastic Computer Mission
6,Consultant
7,Ergonomic Steel Salad Wooden
8,Berkshire Triple-buffered Avon
9,compressing reboot turquoise
10,Cotton encompassing Afghanistan
1151,grid-elhaenabled Industrial
1152,Lead incremental Estonia
1153,Grenada
1154,supply-chains Mountains cyan
1155,Practical Plastic Computer Mission
1156,Consultant
1157,Ergonomic Steel Salad Wooden
1158,Berkshire Triple-buffered Avon
1159,compressing reboot turquoise
1160,Cotton encompassing Afghanistan
1201,grid-elhaenabled Industrial
1202,Lead incremental Estonia
1203,Grenada
1204,supply-chains Mountains cyan
1205,Practical Plastic Computer Mission
1206,Consultant
1207,Ergonomic Steel Salad Wooden
1208,Berkshire Triple-buffered Avon
1209,compressing reboot turquoise
1210,Cotton encompassing Afghanistan
4401,grid-elhaenabled Industrial
4402,Lead incremental Estonia
4403,Grenada
4404,supply-chains Mountains cyan
4405,Practical Plastic Computer Mission
4406,Consultant
4407,Ergonomic Steel Salad Wooden
4408,Berkshire Triple-buffered Avon
4409,compressing reboot turquoise
4410,Cotton encompassing Afghanistan
